donor_name_e,variable,2023-2024,comment,policy_markers_names,marker,donor_name_text
Austria,nutrition,0,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,Austria
Belgium,nutrition,43.1,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,Belgium
Denmark,nutrition,88.12,"",Nutrition,nutrition,Denmark
France,nutrition,24.1,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,France
Germany,nutrition,0.42,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,Germany
Italy,nutrition,78.64,"",Nutrition,nutrition,Italy
Netherlands,nutrition,0.08,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,the Netherlands
Norway,nutrition,0.12,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,Norway
Portugal,nutrition,40.13,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,Portugal
Sweden,nutrition,0.11,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,Sweden
Switzerland,nutrition,100,"",Nutrition,nutrition,Switzerland
United Kingdom,nutrition,76.63,"",Nutrition,nutrition,the United Kingdom
Finland,nutrition,84.63,"",Nutrition,nutrition,Finland
Iceland,nutrition,100,"",Nutrition,nutrition,Iceland
Ireland,nutrition,93.35,"",Nutrition,nutrition,Ireland
Luxembourg,nutrition,0.83,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,Luxembourg
Greece,nutrition,100,"",Nutrition,nutrition,Greece
Spain,nutrition,91.04,"",Nutrition,nutrition,Spain
Slovenia,nutrition,28.26,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,Slovenia
Czechia,nutrition,99.96,"",Nutrition,nutrition,Czechia
Slovak Republic,nutrition,84.89,"",Nutrition,nutrition,the Slovak Republic
Hungary,nutrition,57.49,"",Nutrition,nutrition,Hungary
Poland,nutrition,86.89,"",Nutrition,nutrition,Poland
Romania,nutrition,48.74,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,Romania
Estonia,nutrition,0,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,Estonia
Latvia,nutrition,20.18,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Nutrition,nutrition,Latvia
Lithuania,nutrition,66.44,"",Nutrition,nutrition,Lithuania
Canada,nutrition,95.92,"",Nutrition,nutrition,Canada
United States,nutrition,100,"",Nutrition,nutrition,the United States
Japan,nutrition,96.02,"",Nutrition,nutrition,Japan
Korea,nutrition,80.89,"",Nutrition,nutrition,Korea
Australia,nutrition,100,"",Nutrition,nutrition,Australia
New Zealand,nutrition,67.37,"",Nutrition,nutrition,New Zealand
EU Institutions,nutrition,100,"",Nutrition,nutrition,the EU Institutions
Austria,disability,99.74,"",Disability,disability,Austria
Belgium,disability,42.1,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,Belgium
Denmark,disability,88.98,"",Disability,disability,Denmark
France,disability,20.09,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,France
Germany,disability,24.3,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,Germany
Italy,disability,78.08,"",Disability,disability,Italy
Netherlands,disability,0,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,the Netherlands
Norway,disability,100,"",Disability,disability,Norway
Portugal,disability,39.45,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,Portugal
Sweden,disability,94.11,"",Disability,disability,Sweden
Switzerland,disability,100,"",Disability,disability,Switzerland
United Kingdom,disability,87.54,"",Disability,disability,the United Kingdom
Finland,disability,84.63,"",Disability,disability,Finland
Iceland,disability,99.65,"",Disability,disability,Iceland
Ireland,disability,92.99,"",Disability,disability,Ireland
Luxembourg,disability,0,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,Luxembourg
Greece,disability,100,"",Disability,disability,Greece
Spain,disability,99.48,"",Disability,disability,Spain
Slovenia,disability,29.47,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,Slovenia
Czechia,disability,99.96,"",Disability,disability,Czechia
Slovak Republic,disability,84.89,"",Disability,disability,the Slovak Republic
Hungary,disability,2.34,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,Hungary
Poland,disability,82.86,"",Disability,disability,Poland
Romania,disability,48.72,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,Romania
Estonia,disability,0,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,Estonia
Latvia,disability,20.18,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,Latvia
Lithuania,disability,65.59,"",Disability,disability,Lithuania
Canada,disability,95.5,"",Disability,disability,Canada
United States,disability,0,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Disability,disability,the United States
Japan,disability,95.94,"",Disability,disability,Japan
Korea,disability,91.61,"",Disability,disability,Korea
Australia,disability,100,"",Disability,disability,Australia
New Zealand,disability,100,"",Disability,disability,New Zealand
EU Institutions,disability,100,"",Disability,disability,the EU Institutions
Austria,biodiversity,99.97,"",Biodiversity,biodiversity,Austria
Belgium,biodiversity,69.27,"",Biodiversity,biodiversity,Belgium
Denmark,biodiversity,89.31,"",Biodiversity,biodiversity,Denmark
France,biodiversity,89.87,"",Biodiversity,biodiversity,France
Germany,biodiversity,92.57,"",Biodiversity,biodiversity,Germany
Italy,biodiversity,82.65,"",Biodiversity,biodiversity,Italy
Netherlands,biodiversity,100,"",Biodiversity,biodiversity,the Netherlands
Norway,biodiversity,100,"",Biodiversity,biodiversity,Norway
Portugal,biodiversity,99.31,"",Biodiversity,biodiversity,Portugal
